"competition_name","gender","country","first_season","last_season","competition_urls","seasons","season_end_year","seasons_urls","fixtures_url"
"Argentine Primera División","M","ARG","2014","2021","https://fbref.com/en/comps/21/history/Primera-Division-Seasons","2021","2021","https://fbref.com/en/comps/21/10738/2021-Liga-Profesional-de-Futbol-Stats",NA
"Argentine Primera División","M","ARG","2014","2021","https://fbref.com/en/comps/21/history/Primera-Division-Seasons","2019-2020","2020","https://fbref.com/en/comps/21/Superliga-Argentina-Stats","https://fbref.com/en/comps/21/schedule/Superliga-Argentina-Scores-and-Fixtures"
"Argentine Primera División","M","ARG","2014","2021","https://fbref.com/en/comps/21/history/Primera-Division-Seasons","2018-2019","2019","https://fbref.com/en/comps/21/2436/2018-2019-Superliga-Argentina-Stats","https://fbref.com/en/comps/21/2436/schedule/2018-2019-Superliga-Argentina-Scores-and-Fixtures"
"Argentine Primera División","M","ARG","2014","2021","https://fbref.com/en/comps/21/history/Primera-Division-Seasons","2017-2018","2018","https://fbref.com/en/comps/21/1659/2017-2018-Superliga-Argentina-Stats","https://fbref.com/en/comps/21/1659/schedule/2017-2018-Superliga-Argentina-Scores-and-Fixtures"
"Argentine Primera División","M","ARG","2014","2021","https://fbref.com/en/comps/21/history/Primera-Division-Seasons","2016-2017","2017","https://fbref.com/en/comps/21/1554/2016-2017-Primera-Division-Stats","https://fbref.com/en/comps/21/1554/schedule/2016-2017-Primera-Division-Scores-and-Fixtures"
"Argentine Primera División","M","ARG","2014","2021","https://fbref.com/en/comps/21/history/Primera-Division-Seasons","2016","2016","https://fbref.com/en/comps/21/1494/2016-Primera-Division-Stats","https://fbref.com/en/comps/21/1494/schedule/2016-Primera-Division-Scores-and-Fixtures"
"Argentine Primera División","M","ARG","2014","2021","https://fbref.com/en/comps/21/history/Primera-Division-Seasons","2015","2015","https://fbref.com/en/comps/21/789/2015-Primera-Division-Stats","https://fbref.com/en/comps/21/789/schedule/2015-Primera-Division-Scores-and-Fixtures"
"Argentine Primera División","M","ARG","2014","2021","https://fbref.com/en/comps/21/history/Primera-Division-Seasons","2014","2014","https://fbref.com/en/comps/21/718/2014-Primera-Division-Stats",NA
"A-League","M","AUS","2005-2006","2020-2021","https://fbref.com/en/comps/65/history/A-League-Seasons","2020-2021","2021","https://fbref.com/en/comps/65/A-League-Stats","https://fbref.com/en/comps/65/schedule/A-League-Scores-and-Fixtures"
"A-League","M","AUS","2005-2006","2020-2021","https://fbref.com/en/comps/65/history/A-League-Seasons","2019-2020","2020","https://fbref.com/en/comps/65/3212/2019-2020-A-League-Stats","https://fbref.com/en/comps/65/3212/schedule/2019-2020-A-League-Scores-and-Fixtures"
"A-League","M","AUS","2005-2006","2020-2021","https://fbref.com/en/comps/65/history/A-League-Seasons","2018-2019","2019","https://fbref.com/en/comps/65/2381/2018-2019-A-League-Stats","https://fbref.com/en/comps/65/2381/schedule/2018-2019-A-League-Scores-and-Fixtures"
"A-League","M","AUS","2005-2006","2020-2021","https://fbref.com/en/comps/65/history/A-League-Seasons","2017-2018","2018","https://fbref.com/en/comps/65/1617/2017-2018-A-League-Stats","https://fbref.com/en/comps/65/1617/schedule/2017-2018-A-League-Scores-and-Fixtures"
